name	x	y	z
AF3	10.70	3.24	1.11
AF4	10.00	-4.13	0.83
F7	6.69	6.55	-1.34
F5	8.18	6.14	1.49
F3	8.75	4.28	2.70
F1	9.03	2.29	4.15
Fz	9.09	-0.54	4.40
F2	9.17	-3.10	3.70
F4	8.53	-5.25	2.23
F6	7.32	-6.89	0.19
F8	6.03	-7.75	-1.90
FT7	4.52	7.97	-0.51
FC5	5.17	6.82	2.31
FC3	5.68	5.13	4.86
FC1	6.36	2.77	6.66
FCz	6.26	-0.66	6.99
FC2	6.21	-3.48	6.27
FC4	5.50	-6.27	4.38
FC6	4.47	-8.03	1.71
FT8	3.17	-8.74	-1.21
T7	1.90	7.82	0.33
C5	2.42	7.47	3.56
C3	2.40	5.76	6.14
C1	2.72	2.83	8.24
Cz	3.07	-0.61	9.03
C2	2.50	-4.02	8.05
C4	2.11	-6.80	6.03
C6	1.36	-8.58	2.64
T8	0.86	-8.88	-0.33
M1	-1.98	9.00	-6.72
TP7	-0.77	7.92	0.77
CP5	-0.51	7.32	3.87
CP3	-1.00	5.50	6.54
CP1	-0.99	2.87	8.40
CPz	-1.00	-0.59	9.20
CP2	-1.23	-3.71	8.51
CP4	-1.55	-6.50	6.61
CP6	-1.78	-8.24	3.46
TP8	-1.97	-8.90	0.37
M2	-0.72	-8.41	-7.58
P7	-3.47	7.43	0.90
P5	-3.83	6.46	3.30
P3	-4.43	4.73	5.34
P1	-4.70	2.68	7.16
Pz	-4.56	0.02	7.40
P2	-5.13	-2.77	7.22
P4	-5.17	-5.12	5.37
P6	-5.14	-6.59	2.98
P8	-5.02	-7.34	0.56
PO7	-5.83	5.90	1.08
PO5	-6.22	4.62	3.13
PO3	-6.70	2.62	4.48
POz	-6.97	0.26	4.93
PO4	-7.17	-2.15	4.45
PO6	-7.38	-4.23	2.85
PO8	-7.13	-5.46	0.68
CB1	-8.21	3.42	-0.89
O1	-7.74	3.82	1.14
Oz	-8.85	0.42	1.53
O2	-8.63	-2.68	0.72
CB2	-9.26	-2.23	-1.39
VEO	8.41	4.90	-3.47
HEO	4.76	6.34	-5.38
EKG	-3.86	5.68	-11.73
R-Dia-X-(mm)	n/a	n/a	n/a
R-Dia-Y-(mm)	n/a	n/a	n/a
