name	x	y	z
AF3	11.33	2.42	2.27
AF4	10.09	-4.68	1.83
F7	6.72	6.51	-0.55
F5	7.59	5.53	2.47
F3	8.84	3.46	4.77
F1	9.25	1.34	5.63
Fz	9.13	-1.46	5.23
F2	8.58	-3.89	4.52
F4	7.73	-5.74	3.60
F6	6.18	-7.43	1.61
F8	4.96	-7.45	-1.13
FT7	4.25	7.11	-0.54
FC5	5.40	6.34	3.11
FC3	6.02	4.58	5.26
FC1	6.61	1.63	6.74
FCz	6.74	-1.36	7.01
FC2	5.87	-4.28	6.52
FC4	4.78	-6.60	4.83
FC6	3.51	-7.75	2.42
FT8	2.36	-7.66	-0.91
T7	1.73	7.50	-0.10
C5	2.72	6.91	3.36
C3	3.47	5.29	5.88
C1	3.80	2.45	7.61
Cz	3.64	-0.65	8.30
C2	2.78	-4.06	7.77
C4	1.67	-7.40	5.93
C6	1.17	-7.74	3.84
T8	0.06	-6.91	0.10
M1	-0.35	7.10	-6.01
TP7	-1.14	7.59	0.55
CP5	-0.50	7.24	3.54
CP3	0.10	5.41	6.44
CP1	-0.03	2.90	8.21
CPz	-0.08	-0.30	8.82
CP2	-0.75	-3.49	8.51
CP4	-1.64	-5.74	6.68
CP6	-2.38	-6.88	3.96
TP8	-2.75	-7.03	0.64
M2	-2.49	-5.52	-7.37
P7	-3.50	7.33	1.43
P5	-2.97	6.48	3.98
P3	-2.83	5.05	6.24
P1	-3.10	2.72	7.53
Pz	-3.32	0.24	7.96
P2	-3.91	-2.12	7.39
P4	-4.16	-4.66	6.28
P6	-4.59	-5.92	4.15
P8	-5.14	-6.47	1.47
PO7	-5.26	5.84	1.49
PO5	-5.26	5.25	2.97
PO3	-5.65	4.06	4.23
POz	-6.13	0.52	5.74
PO4	-6.78	-3.05	4.19
PO6	-6.95	-4.33	3.30
PO8	-6.79	-4.79	1.89
CB1	-8.08	3.36	0.16
O1	-7.20	3.59	2.37
Oz	-8.13	0.99	2.71
O2	-8.20	-1.92	2.63
CB2	-9.12	-1.58	0.52
VEO	10.20	3.40	-2.84
HEO	6.11	6.03	-4.15
EKG	-4.08	6.63	-15.79
R-Dia-X-(mm)	n/a	n/a	n/a
R-Dia-Y-(mm)	n/a	n/a	n/a
