name	x	y	z
AF3	10.74	3.63	1.49
AF4	10.06	-3.59	1.16
F7	6.19	7.61	-1.22
F5	7.73	7.04	2.74
F3	8.71	4.36	4.98
F1	8.83	2.45	4.97
Fz	8.83	-0.27	4.71
F2	8.88	-3.21	4.32
F4	7.82	-5.29	3.34
F6	6.51	-6.74	1.15
F8	5.31	-7.34	-1.31
FT7	3.64	8.26	-1.01
FC5	4.89	7.64	2.47
FC3	5.72	5.71	5.36
FC1	6.47	2.73	7.34
FCz	6.59	-0.78	7.43
FC2	5.74	-3.35	5.93
FC4	4.84	-5.66	4.51
FC6	3.64	-7.57	2.16
FT8	2.56	-7.66	-1.17
T7	0.77	9.03	0.07
C5	2.42	8.28	3.75
C3	2.85	6.31	6.37
C1	3.20	3.23	8.15
Cz	3.41	-0.16	8.30
C2	2.63	-3.21	7.48
C4	1.97	-6.09	5.59
C6	0.85	-7.85	2.90
T8	0.19	-7.93	-0.07
M1	-0.16	7.36	-7.37
TP7	-1.55	8.10	0.43
CP5	-0.87	8.41	3.89
CP3	-0.30	6.20	6.51
CP1	-0.22	3.65	8.07
CPz	-0.01	0.36	8.91
CP2	-0.82	-2.78	8.22
CP4	-1.45	-5.37	6.37
CP6	-1.98	-7.01	3.79
TP8	-2.08	-8.41	0.80
M2	-0.92	-6.63	-8.15
P7	-3.97	7.72	1.12
P5	-3.48	7.24	4.03
P3	-3.32	5.59	6.35
P1	-3.55	3.49	7.48
Pz	-3.69	0.73	7.82
P2	-4.04	-1.82	7.50
P4	-4.13	-4.26	5.90
P6	-4.58	-5.99	4.01
P8	-4.89	-6.78	1.13
PO7	-6.10	6.50	1.55
PO5	-6.11	5.99	3.21
PO3	-6.36	4.46	4.37
POz	-6.53	0.85	5.45
PO4	-7.05	-2.91	3.95
PO6	-7.17	-4.56	3.07
PO8	-7.08	-5.15	1.55
CB1	-8.62	3.51	-0.45
O1	-7.89	3.78	2.10
Oz	-8.66	0.84	2.26
O2	-8.51	-2.08	2.07
CB2	-9.48	-2.01	-0.48
VEO	9.05	6.38	-1.06
HEO	3.75	9.01	-3.80
EKG	-2.94	7.21	-10.42
R-Dia-X-(mm)	n/a	n/a	n/a
R-Dia-Y-(mm)	n/a	n/a	n/a
