name	x	y	z
AF3	9.81	3.75	1.36
AF4	9.69	-3.10	1.05
F7	5.96	7.41	-0.89
F5	6.99	6.61	1.34
F3	8.05	5.17	3.61
F1	7.91	2.84	4.63
Fz	8.11	-0.20	5.64
F2	8.37	-2.96	4.67
F4	7.90	-4.54	2.63
F6	7.08	-6.87	0.58
F8	6.09	-6.90	-1.44
FT7	3.14	7.86	-0.65
FC5	3.89	7.24	2.57
FC3	4.47	5.52	5.40
FC1	4.46	2.78	6.58
FCz	4.49	-0.22	7.07
FC2	4.77	-3.08	6.41
FC4	4.78	-5.57	4.45
FC6	4.22	-8.01	1.98
FT8	3.35	-8.42	-0.42
T7	0.60	8.28	0.25
C5	0.85	7.79	3.32
C3	0.71	5.63	6.30
C1	0.72	2.87	7.25
Cz	1.09	-0.59	8.27
C2	1.15	-3.88	7.47
C4	1.59	-6.68	5.64
C6	1.01	-8.10	2.52
T8	0.61	-8.55	-0.25
M1	0.06	7.27	-7.48
TP7	-2.12	7.99	0.36
CP5	-2.22	7.63	3.81
CP3	-2.66	5.38	5.91
CP1	-2.98	2.56	7.29
CPz	-2.83	-0.60	7.44
CP2	-2.81	-3.33	7.12
CP4	-2.57	-6.22	6.31
CP6	-2.48	-7.82	3.09
TP8	-2.49	-8.36	-0.02
M2	-0.21	-7.39	-8.60
P7	-4.97	6.92	0.42
P5	-5.50	5.85	2.58
P3	-6.13	4.18	5.38
P1	-5.99	1.80	5.61
Pz	-5.79	-0.29	6.59
P2	-6.17	-2.87	5.93
P4	-5.82	-5.19	4.49
P6	-5.70	-6.80	2.21
P8	-5.33	-7.35	0.07
PO7	-7.35	5.23	0.28
PO5	-7.64	3.73	2.10
PO3	-8.04	1.76	3.19
POz	-7.87	-0.51	3.52
PO4	-7.92	-2.65	3.19
PO6	-8.11	-4.69	1.89
PO8	-7.63	-5.94	-0.06
CB1	-9.74	2.93	-1.62
O1	-9.07	3.04	0.30
Oz	-9.95	-0.06	0.59
O2	-9.50	-3.46	0.52
CB2	-9.90	-2.90	-1.63
VEO	8.67	5.83	-2.87
HEO	5.51	6.40	-4.17
EKG	-4.26	6.41	-12.03
R-Dia-X-(mm)	n/a	n/a	n/a
R-Dia-Y-(mm)	n/a	n/a	n/a
