name	x	y	z
AF3	10.79	3.18	1.22
AF4	10.72	-3.99	0.75
F7	7.02	7.35	-1.11
F5	8.26	6.16	1.38
F3	8.85	4.52	2.77
F1	9.12	2.22	4.38
Fz	9.42	-0.69	5.10
F2	9.51	-3.23	3.92
F4	8.83	-5.21	2.18
F6	7.83	-6.65	0.13
F8	6.49	-7.30	-2.01
FT7	4.37	8.13	-0.67
FC5	5.26	7.03	2.44
FC3	5.79	5.18	5.04
FC1	6.15	2.43	7.14
FCz	6.27	-0.97	7.31
FC2	6.30	-3.76	6.26
FC4	5.70	-6.28	4.30
FC6	4.82	-7.80	1.58
FT8	3.39	-9.28	-1.11
T7	1.88	8.29	0.20
C5	2.30	7.50	3.59
C3	2.45	5.70	6.29
C1	2.50	2.51	8.69
Cz	3.00	-1.34	9.41
C2	2.55	-4.31	7.92
C4	2.31	-7.23	5.90
C6	1.57	-8.39	2.58
T8	1.01	-8.59	-0.20
M1	-1.78	8.40	-7.39
TP7	-1.13	8.32	0.81
CP5	-0.77	7.60	4.33
CP3	-0.80	5.52	7.27
CP1	-1.27	2.38	8.87
CPz	-1.21	-1.07	9.82
CP2	-1.40	-4.07	8.85
CP4	-1.62	-6.67	6.81
CP6	-1.85	-8.13	3.65
TP8	-1.87	-8.50	0.57
M2	-0.15	-7.71	-7.52
P7	-3.69	7.47	1.45
P5	-4.10	6.48	3.91
P3	-4.57	4.58	6.18
P1	-4.78	2.17	7.68
Pz	-4.61	-0.46	8.38
P2	-5.10	-3.25	7.67
P4	-5.34	-6.77	6.37
P6	-5.10	-7.41	3.64
P8	-4.90	-7.82	1.20
PO7	-6.44	6.07	2.09
PO5	-6.83	4.68	4.27
PO3	-7.55	2.64	6.36
POz	-7.41	-0.20	5.85
PO4	-7.53	-2.48	5.08
PO6	-8.14	-4.84	3.33
PO8	-7.60	-5.87	1.19
CB1	-9.29	3.55	0.09
O1	-9.05	3.62	1.99
Oz	-9.32	0.34	2.14
O2	-9.09	-3.21	1.52
CB2	-10.02	-3.06	-0.03
VEO	9.67	4.81	-2.43
HEO	5.96	7.68	-2.11
EKG	-8.02	5.44	-6.82
R-Dia-X-(mm)	n/a	n/a	n/a
R-Dia-Y-(mm)	n/a	n/a	n/a
